,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
1342755,Carlton Ave & St Marks Ave,E 2 St & Avenue C,40.679087639,-73.971791983,40.7208736,-73.98085795,1
4680648,W 52 St & 6 Ave,E 58 St & 3 Ave,40.760972142,-73.980651975,40.76095756,-73.96724467,1
31041,1 Ave & E 44 St,1 Ave & E 68 St,40.749943733,-73.969072223,40.76500525,-73.95818491,1
1194949,Broadway & W 38 St,Lexington Ave & E 36 St,40.752872109,-73.98748076,40.7475739589548,-73.9788007736206,1
4140778,Vesey Pl & River Terrace,Bus Slip & State St,40.715410471,-74.016609192,40.701907,-74.013942,1
2717378,Gerard Ave & E 165 St,Grand Concourse & E 166 St,40.831807852,-73.922389746,40.83196,-73.91956,1
1163137,Broadway & W 25 St,E 31 St & 3 Ave,40.742641449,-73.989500642,40.74394314,-73.97966069,1
2930641,Henry St & Middagh St,Washington Ave & Park Ave,40.700334191,-73.991674066,40.69610226,-73.96751037,1
2959472,Hudson St & W 13 St,Allen St & Rivington St,40.740259647,-74.005408525,40.72019576,-73.98997825,1
4448436,W 31 St & 7 Ave,8 Ave & W 31 St,40.749156,-73.9916,40.750585,-73.994685,4
4390578,W 24 St & 7 Ave,MacDougal St & Prince St,40.744890809,-73.995468497,40.72710258,-74.00297088,1
2071257,E 32 St & Park Ave,Roebling St & N 4 St,40.7457121,-73.98194829,40.71469,-73.95739,5
1064127,Broad St & Bridge St,Stanton St & Mangin St,40.70365182,-74.01167797,40.71782143,-73.97628939,9
675005,8 Ave & W 16 St,W 21 St & 6 Ave,40.740966797,-74.001772642,40.74173969,-73.99415556,1
1842263,E 13 St & 2 Ave,West St & Liberty St,40.731789708,-73.98519659,40.711444,-74.014847,1
639421,7 Ave & 41 St,Macon St & Nostrand Ave,40.647275567,-74.000826716,40.6809833854,-73.9500479759,1
636054,7 Ave & 22 St,7 Ave & 22 St,40.657944798,-73.989756942,40.658029,-73.989605,1
2418566,E 81 St & York Ave,W 168th S & Fort Washington Ave,40.772771597,-73.949645758,40.84210236102173,-73.9422395825386,1
2529653,East End Ave & E 86 St,W 20 St & 8 Ave,40.77518615,-73.94446054,40.74345335,-74.00004031,1
1392453,Central Ave & Covert St,Halsey St & Evergreen Ave,40.689330816,-73.90970397,40.68858,-73.91227,1
4569157,W 42 St & 8 Ave,Lenox Ave & W 117 St,40.757537365,-73.990799546,40.8025566,-73.9490782,1
1439068,Central Park West & W 68 St,Amsterdam Ave & W 125 St,40.773205161,-73.977919102,40.813358,-73.956461,1
4100398,University Pl & E 14 St,E 31 St & 3 Ave,40.734719038,-73.992088556,40.74394314,-73.97966069,1
2960232,Hudson St & W 13 St,Carmine St & 6 Ave,40.740329385,-74.005337954,40.73038599,-74.00214988,1
1394193,Central Ave & Decatur St,Van Dam St & Greenpoint Ave,40.688256979,-73.907882214,40.73443564069459,-73.93790781497955,1
3777164,Rivington St & Ridge St,Rivington St & Chrystie St,40.718582034,-73.983264804,40.72110063,-73.9919254,1
4076433,Union Ave & Jackson St,Stagg St & Morgan Ave,40.715933561,-73.951718688,40.710681,-73.93372,1
2345459,E 68 St & Madison Ave,5 Ave & E 72 St,40.769049644,-73.967154384,40.77282817,-73.96685276,1
3698544,Putnam Ave & Knickerbocker Ave,7 Ave & 22 St,40.695562363,-73.911426663,40.658029,-73.989605,1
4353052,W 204 St & Vermilyea Ave,W 204 St & Vermilyea Ave,40.86616683,-73.922700286,40.866141,-73.922648,1
1431138,Central Park W & W 91 St,W 56 St & 6 Ave,40.7886374,-73.966757059,40.76340613,-73.97722479,1
4913361,Washington Pl & 6 Ave,Madison St & Montgomery St,40.73224119,-74.00026394,40.713126,-73.984844,14
1433637,Central Park W & W 97 St,Central Park W & W 97 St,40.792729497,-73.963976502,40.79249519495111,-73.96417066463071,1
4505910,W 37 St & 10 Ave,12 Ave & W 40 St,40.756737471,-73.998253584,40.76087502,-74.00277668,1
2406422,E 81 St & 2 Ave,Adam Clayton Powell Blvd & W 115 St,40.77477944895728,-73.95427465438843,40.802535,-73.9532423,3
3046925,Kent Ave & N 7 St,E 25 St & 2 Ave,40.720685959,-73.961369276,40.73912601,-73.97973776,1
1371663,Cathedral Pkwy & Broadway,W 218 St & Broadway,40.804319024,-73.967244625,40.87139,-73.914318,1
571682,6 Ave & 9 St,Coffey St & Conover St,40.668058276,-73.983823538,40.677236,-74.015665,1
4874346,Walker St & Baxter St,Wyckoff St & Nevins St,40.717411,-73.999573,40.683426,-73.984275,4
2824897,Great Jones St,Clinton St & Cherry St,40.727537394,-73.993996859,40.711471394469264,-73.98672603070736,1
3680711,Prospect Park SW & Vanderbilt St,Prospect Park SW & Vanderbilt St,40.655237556,-73.973353148,40.65482,-73.973217,1
3519651,Nelson Ave & 167 St,W 170 St & University Ave,40.836867929,-73.925990343,40.84207,-73.926075,1
489737,5 Ave & 41 St,4 Ave & 9 St,40.64996624,-74.005208731,40.6705135,-73.98876585,1
4241974,W 13 St & 7 Ave,Division St & Bowery,40.737716675,-73.999782085,40.714193,-73.996732,1
3681906,Prospect Park W & 20 St,Lawrence St & Willoughby St,40.656644344,-73.983862042,40.69236178,-73.98631746,1
30131,1 Ave & E 39 St,W 41 St & 8 Ave,40.74718976,-73.971146345,40.75640548,-73.9900262,1
3495582,N 6 St & Bedford Ave,Driggs Ave & Lorimer St,40.717465162,-73.95863831,40.72179134,-73.9504154,1
